Rank,PlayerName,Team,Position,Age,GamesPlayed,GamesStarted,CompletedPasses,AttemptedPasses,PassingYards,PassingTouchdowns,Interceptions,RushAttempts,RushYards,YardsPerRush,RushingTouchdowns,Targets,Receptions,ReceivingYards,YardsPerRecepetion,ReceivingTouchdowns,Fumbles,FL,TotalTouchdowns,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PositionRank,OverallRank,-9999
30,Deebo Samuel,SFO,WR,26,6,5,0,0,0,0,0,23,136,5.91,1,47,27,345,12.78,2,2,1,3,,,64,91.1,98.1,77.6,18,9,30,SamuDe00
31,Clyde Edwards-Helaire,KAN,RB,23,6,6,0,0,0,0,0,59,256,4.34,2,18,16,137,8.56,3,0,0,5,,,69,85.3,91.3,77.3,18,13,31,EdwaCl00
32,Gabriel Davis,BUF,WR,23,5,5,0,0,0,0,0,0,0,,0,26,14,383,27.36,4,0,0,4,,,62,76.3,79.3,69.3,16,11,32,DaviGa01
33,A.J. Brown,PHI,WR,25,6,5,0,0,0,0,0,0,0,,0,53,33,503,15.24,2,0,0,2,,,62,95.3,98.3,78.8,16,10,33,BrowAJ00
34,Chris Olave,NOR,WR,22,6,4,0,0,0,0,0,0,0,,0,56,32,495,15.47,2,1,1,2,1,,62,93.5,97.5,77.5,16,12,34,OlavCh00
35,Zach Ertz,ARI,TE,32,7,7,0,0,0,0,0,0,0,,0,55,37,320,8.65,2,0,0,2,2,,48,85,88,66.5,15,4,35,ErtzZa00
36,Geno Smith,SEA,QB,32,6,6,138,188,1502,9,2,26,125,4.81,1,0,0,0,,0,2,0,1,,,111,110.6,118.6,112.6,15,7,36,SmitGe00
37,Dameon Pierce,HOU,RB,22,5,5,0,0,0,0,0,86,412,4.79,3,15,13,57,4.38,0,2,0,3,,,65,77.9,80.9,71.4,14,14,37,PierDa01
38,T.J. Hockenson,DET,TE,25,5,5,0,0,0,0,0,0,0,,0,34,19,267,14.05,3,0,0,3,1,,47,65.7,68.7,56.2,14,5,38,HockTJ00
39,Christian Kirk,JAX,WR,26,6,6,0,0,0,0,0,2,7,3.5,0,44,25,362,14.48,4,1,1,4,,,59,83.9,87.9,71.4,13,13,39,KirkCh01
40,Amari Cooper,CLE,WR,28,6,6,0,0,0,0,0,0,0,,0,55,31,348,11.23,4,0,0,4,,,59,89.8,92.8,74.3,13,14,40,CoopAm00
41,Aaron Jones,GNB,RB,28,6,6,0,0,0,0,0,70,409,5.84,1,23,17,123,7.24,1,1,1,2,,,63,80.2,87.2,71.7,12,15,41,JoneAa00
42,James Robinson,JAX,RB,24,6,5,0,0,0,0,0,81,340,4.2,3,10,9,46,5.11,1,1,0,4,,,63,71.6,74.6,67.1,12,16,42,RobiJa00
43,Khalil Herbert,CHI,RB,24,6,1,0,0,0,0,0,63,402,6.38,3,5,5,37,7.4,0,0,0,3,,,62,66.9,69.9,64.4,11,17,43,HerbKh00
